Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper, 2019
Burkina Faso,5300 ,4000 , 6800,5100 ,3900 , 6500,4500 ,3200 , 5900,4200 ,3000 , 5700,3800 ,2600 , 5200,3300 ,2300 , 4800,3100 ,2100 , 4400,2800 ,2000 , 4100,2900 ,1900 , 4400,2700 ,1800 , 4200,-49
Burundi,4200 ,3200 , 5300,3900 ,3000 , 5100,3700 ,2700 , 4800,3400 ,2500 , 4500,3200 ,2300 , 4300,2800 ,1900 , 4000,2500 ,1600 , 3600,2200 ,1500 , 3300,2000 ,1300 , 3100,1900 ,1200 , 2900,-55
Cabo Verde,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,-17
Cambodia,2000 ,1800 , 2300,1800 ,1600 , 2000,1600 ,1400 , 1800,1500 ,1300 , 1700,1300 ,1200 , 1500,1200 ,1100 , 1400,1200 ,1100 , 1300,1000 ,<1000 , 1200,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,-62
Cameroon,33 000 ,30 000 , 37 000,32 000 ,29 000 , 35 000,29 000 ,27 000 , 32 000,27 000 ,24 000 , 30 000,25 000 ,23 000 , 28 000,23 000 ,20 000 , 26 000,22 000 ,19 000 , 25 000,20 000 ,17 000 , 23 000,18 000 ,14 000 , 22 000,17 000 ,14 000 , 21 000,-48
Canada,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Central African Republic,9000 ,7200 , 11 000,8500 ,6500 , 11 000,8100 ,6100 , 11 000,7800 ,5800 , 10 000,7100 ,5000 , 9700,6400 ,4300 , 9200,5800 ,3800 , 8900,5600 ,3600 , 8600,5300 ,3200 , 8400,4900 ,2900 , 8200,-45
Chad,7400 ,5500 , 9200,7200 ,5400 , 8900,7000 ,5200 , 8800,6700 ,4900 , 8400,6100 ,4300 , 7900,6000 ,4200 , 8000,5700 ,3800 , 7600,5700 ,3800 , 7700,5600 ,3600 , 7800,5200 ,3200 , 7700,-31
Chile,3300 ,2700 , 3900,3700 ,3100 , 4400,4100 ,3400 , 4900,4400 ,3600 , 5300,4700 ,3900 , 5600,4900 ,4000 , 5800,5000 ,4100 , 6000,5100 ,4100 , 6200,5100 ,4000 , 6200,5100 ,3900 , 6300,57
China,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Colombia,12 000 ,8700 , 15 000,12 000 ,8800 , 15 000,12 000 ,8800 , 16 000,12 000 ,8800 , 16 000,12 000 ,8600 , 16 000,12 000 ,8400 , 17 000,12 000 ,8200 , 17 000,12 000 ,8100 , 17 000,12 000 ,8200 , 18 000,12 000 ,8400 , 20 000,8
Comoros,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,-33
Congo,6400 ,5000 , 7900,6400 ,4800 , 8100,6600 ,4800 , 8500,6800 ,4800 , 9100,7000 ,4800 , 9700,7200 ,4800 , 11 000,7400 ,4700 , 12 000,7600 ,4600 , 13 000,7700 ,4500 , 14 000,8000 ,4400 , 16 000,24
Costa Rica,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , 1000,<1000 ,<1000 , 1000,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,30
Croatia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,10
Cuba,2300 ,1300 , 3500,2300 ,1300 , 3700,2400 ,1400 , 3700,2400 ,1400 , 3700,2300 ,1300 , 3700,2200 ,1300 , 3500,2100 ,1200 , 3400,1900 ,1100 , 3100,1800 ,1000 , 2800,1700 ,<1000 , 2700,-27
